Industry,23-Mar,···,23-Dec,24-Jan,24-Feb,24-Mar,MoM% Change,YoY% Change
Accommodation and Food Services,1.02,···,1.01,0.92,0.96,0.98,1.4,-4.6
Administrative and Support Services,1,···,0.98,0.81,0.91,0.91,-0.3,-9.8
Construction,1.2,···,1.24,1.18,1.17,1.18,0.9,-1.5
Consumer Services,1.2,···,1.2,1.11,1.17,1.15,-1.9,-4.2
Education,1.25,···,1.16,1.14,1.15,1.12,-2.1,-10.3
Entertainment Providers,0.99,···,0.93,0.94,0.93,0.92,-1.4,-7.5
"Farming, Ranching, Forestry",1.24,···,1.11,1.06,1.08,1.09,0.8,-12.5
Financial Services,1.12,···,0.98,0.96,0.99,0.97,-1.6,-13.2
Government Administration,1.23,···,1.15,1.09,1.12,1.11,-1.2,-9.5
Holding Companies,0.9,···,0.78,0.8,0.78,0.71,-9.6,-21.7
Hospitals and Health Care,1.24,···,1.13,1.1,1.12,1.12,-0.4,-10.3
Manufacturing,1.03,···,0.97,0.87,0.9,0.88,-1.7,-14.3
"Oil, Gas, and Mining",1.13,···,0.93,0.88,0.89,0.87,-1.9,-23.1
Professional Services,1,···,0.91,0.89,0.9,0.89,-0.8,-10.6
Real Estate and Equipment Rental Services,1.07,···,1.01,0.94,0.95,0.97,1.4,-9.9
Retail,0.91,···,0.9,0.81,0.86,0.85,-0.8,-6.3
"Technology, Information and Media",0.89,···,0.86,0.82,0.87,0.86,-0.9,-3.8
"Transportation, Logistics, Supply Chain and Storage",1.2,···,1.04,1.03,1.02,1,-1.6,-16.5
Utilities,1.49,···,1.21,1.14,1.12,1.22,8.8,-18.1
Wholesale,0.97,···,0.95,0.82,0.83,0.85,2.6,-12.1
