Industry,Mar-24,···,Dec-24,Jan-25,Feb-25,Mar-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.95,···,0.96,0.94,0.97,0.87,-10.2,-7.8
Administrative and Support Services,0.88,···,0.9,0.8,0.85,0.81,-5.3,-8.3
Construction,1.23,···,1.2,1.2,1.19,1.13,-4.5,-7.9
Consumer Services,1.16,···,1.14,1.13,1.15,1.12,-2.9,-3.7
Education,1.12,···,1.14,1.13,1.16,1.07,-8.6,-5.2
Entertainment Providers,0.93,···,0.88,0.85,0.88,0.87,-1.8,-7.2
"Farming, Ranching, Forestry",1.13,···,0.92,0.96,1.02,0.9,-12,-20.8
Financial Services,0.97,···,1.02,1.01,1.02,1,-2,3
Government Administration,1.13,···,1.05,1.07,1,0.93,-6.6,-17.3
Holding Companies,0.75,···,0.74,0.73,0.66,0.69,5.9,-7.7
Hospitals and Health Care,1.14,···,1.09,1.09,1.09,1.05,-3.5,-7.9
Manufacturing,0.91,···,0.86,0.84,0.84,0.81,-3.2,-10.3
"Oil, Gas, and Mining",0.89,···,0.85,0.8,0.85,0.84,-1.2,-5.7
Professional Services,0.89,···,0.89,0.87,0.88,0.83,-5.9,-6.6
Real Estate and Equipment Rental Services,0.97,···,0.98,0.86,0.9,0.87,-2.6,-9.6
Retail,0.83,···,0.83,0.82,0.84,0.77,-8.3,-6.6
"Technology, Information and Media",0.85,···,0.92,0.85,0.88,0.84,-5.4,-1.4
"Transportation, Logistics, Supply Chain and Storage",1.04,···,1.03,0.98,1.03,0.97,-5.9,-7.5
Utilities,1.28,···,1.14,1.12,1.09,1.09,0.4,-14.8
Wholesale,0.88,···,0.89,0.72,0.84,0.77,-8.2,-12.2
