Industry,22-Jul,···,23-Apr,23-May,23-Jun,23-Jul,MoM% Change,YoY% Change
Accommodation and Food Services,1.03,···,0.96,0.9,0.87,0.9,3.9,-12.7
Administrative and Support Services,1.18,···,0.92,0.94,0.79,0.88,11.3,-25.2
Construction,1.21,···,1.08,1.2,1.13,1.11,-1.1,-8
Consumer Services,1.12,···,1.11,1.05,0.96,1.04,7.7,-7.7
Education,1.19,···,1.18,1.18,1.1,1.09,-0.7,-7.8
Entertainment Providers,1,···,0.88,0.9,0.87,0.86,-1.2,-14.6
"Farming, Ranching, Forestry",1.17,···,1.15,1.11,1.13,1.04,-7.7,-11.1
Financial Services,1.22,···,0.99,1,0.99,0.93,-6.9,-24.3
Government Administration,1.1,···,1.11,1.12,1.03,1.06,3.2,-3.1
Holding Companies,1.05,···,0.83,0.92,0.85,0.71,-17.2,-32.7
Hospitals and Health Care,1.23,···,1.1,1.16,1.09,1.13,3.9,-7.9
Manufacturing,1.1,···,0.89,0.96,0.91,0.89,-2.7,-19.2
"Oil, Gas, and Mining",1.05,···,0.94,1,0.9,0.88,-2.7,-16.2
Professional Services,1.14,···,0.92,0.93,0.88,0.83,-6.2,-27.4
Real Estate and Equipment Rental Services,1.14,···,1,0.97,0.94,0.96,2.8,-15.8
Retail,0.98,···,0.79,0.84,0.72,0.73,1.3,-25.7
"Technology, Information and Media",1.21,···,0.78,0.83,0.76,0.73,-3.7,-39.5
"Transportation, Logistics, Supply Chain and Storage",1.31,···,1.11,1.11,1.08,1.05,-2.6,-19.8
Utilities,1.3,···,1.19,1.26,1.19,1.22,2.3,-6.2
Wholesale,1.06,···,0.84,0.8,0.75,0.83,10,-21.5
