Industry,Jul-24,···,Apr-25,May-25,Jun-25,Jul-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.89,···,0.87,0.92,0.84,0.9,7.8,2.2
Administrative and Support Services,0.82,···,0.79,0.8,0.76,0.8,5.2,-1.8
Construction,1.18,···,1.11,1.22,1.13,1.16,2.6,-1.7
Consumer Services,1.14,···,1.1,1.09,1.05,1.06,1.3,-6.8
Education,1.09,···,1.12,1.14,1.04,1.04,0.1,-4.6
Entertainment Providers,0.91,···,0.87,0.9,0.85,0.89,4.1,-2.1
"Farming, Ranching, Forestry",0.99,···,0.97,1.07,1,0.88,-12.4,-11.3
Financial Services,0.95,···,0.97,1.04,0.86,0.94,9.9,-0.9
Government Administration,1.05,···,0.93,0.98,0.91,0.91,0.1,-13.5
Holding Companies,0.77,···,0.72,0.77,0.72,0.7,-3.9,-9.3
Hospitals and Health Care,1.08,···,1.05,1.09,1.05,1.04,-0.5,-3.5
Manufacturing,0.88,···,0.8,0.84,0.77,0.8,4.6,-8.9
"Oil, Gas, and Mining",0.84,···,0.78,0.81,0.75,0.81,7.8,-3.1
Professional Services,0.86,···,0.83,0.87,0.77,0.82,7.3,-4
Real Estate and Equipment Rental Services,0.93,···,0.86,0.89,0.85,0.9,6.4,-3.2
Retail,0.79,···,0.77,0.75,0.7,0.78,12.2,-1.6
"Technology, Information and Media",0.85,···,0.85,0.88,0.77,0.85,10.6,0.3
"Transportation, Logistics, Supply Chain and Storage",0.98,···,0.99,0.96,0.87,0.95,9.4,-3
Utilities,1.2,···,1.05,1.17,1.09,1.16,6.5,-3.2
Wholesale,0.8,···,0.73,0.68,0.64,0.74,15.7,-6.9
