Industry,22-Nov,···,23-Aug,23-Sep,23-Oct,23-Nov,MoM% Change,YoY% Change
Accommodation and Food Services,0.99,···,0.89,0.9,0.93,0.93,0.7,-6
Administrative and Support Services,1.07,···,0.83,0.85,0.91,0.87,-3.9,-18.1
Construction,1.14,···,1.1,1.11,1.16,1.11,-4.4,-3
Consumer Services,1.1,···,0.92,1.04,1.11,1.11,0.5,0.8
Education,1.19,···,1.08,1.06,1.1,1.1,0.2,-7.4
Entertainment Providers,0.91,···,0.85,0.86,0.87,0.86,-1.4,-5.8
"Farming, Ranching, Forestry",1.2,···,1,1.04,1.02,1.04,1.6,-13.6
Financial Services,1.13,···,0.88,0.91,0.94,0.88,-6.5,-21.9
Government Administration,1.08,···,0.94,1.02,1.08,1.09,0.4,0.6
Holding Companies,0.9,···,0.69,0.69,0.72,0.69,-4.7,-24
Hospitals and Health Care,1.13,···,1.05,1.03,1.07,1.04,-2.3,-7.3
Manufacturing,0.99,···,0.86,0.87,0.91,0.83,-8.8,-16.1
"Oil, Gas, and Mining",0.98,···,0.86,0.86,0.87,0.88,0.5,-10.6
Professional Services,0.99,···,0.82,0.83,0.84,0.84,-0.4,-15.1
Real Estate and Equipment Rental Services,1.05,···,0.94,0.94,0.95,0.97,1.7,-7.9
Retail,0.88,···,0.72,0.74,0.75,0.75,-0.4,-14.5
"Technology, Information and Media",0.97,···,0.73,0.77,0.81,0.75,-6.7,-22.6
"Transportation, Logistics, Supply Chain and Storage",1.23,···,1.03,1.03,1,0.96,-4.6,-22.4
Utilities,1.31,···,1.15,1.15,1.16,1.06,-8.4,-19.1
Wholesale,0.99,···,0.74,0.84,0.86,0.85,-1.6,-14.6
