Industry,22-Jan,···,22-Oct,22-Nov,22-Dec,23-Jan,MoM% Change,YoY% Change
Accommodation,1.15,···,1.01,0.99,1,0.95,-5.2,-17.3
Administrative and Support Services,1.34,···,1.08,1.07,1.04,1.03,-0.5,-23.3
Construction,1.44,···,1.2,1.14,1.14,1.18,3.1,-18.4
Consumer Services,1.26,···,1.13,1.1,1.09,1.07,-1.7,-15
Education,1.28,···,1.22,1.19,1.17,1.13,-3.5,-11.7
Entertainment Providers,1.2,···,0.97,0.91,0.92,0.92,0,-23.5
"Farming, Ranching, Forestry",1.51,···,1.23,1.2,1.23,1.14,-6.9,-24.6
Financial Services,1.45,···,1.23,1.13,1.12,1.15,2.3,-21.2
Government Administration,1.19,···,1.1,1.08,1.12,1.13,1.5,-4.7
Holding Companies,1.31,···,1.07,0.9,0.91,0.94,4.3,-27.8
Hospitals and Health Care,1.44,···,1.17,1.13,1.13,1.16,2.7,-19.5
Manufacturing,1.29,···,1.07,0.99,0.98,1.01,3.3,-22
"Oil, Gas, and Mining",1.14,···,1.04,0.98,0.97,0.98,1.6,-13.8
Professional Services,1.33,···,1.04,0.99,0.97,0.97,0.6,-26.5
Real Estate and Equipment Rental Services,1.37,···,1.05,1.05,1.08,0.94,-13,-31.2
Retail,1.2,···,0.91,0.88,0.96,0.86,-10.6,-28.9
"Technology, Information and Media",1.6,···,1.12,0.97,0.91,0.91,-0.3,-43.2
"Transportation, Logistics, Supply Chain and Storage",1.55,···,1.25,1.23,1.19,1.22,2.7,-21
Utilities,1.41,···,1.38,1.31,1.32,1.32,0.1,-6.5
Wholesale,1.23,···,1,0.99,0.96,0.9,-6.6,-27
