Industry,Jan-24,···,Oct-24,Nov-24,Dec-24,Jan-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.92,···,0.87,0.91,0.96,0.94,-2.1,2.3
Administrative and Support Services,0.85,···,0.78,0.85,0.9,0.8,-10.7,-5.9
Construction,1.26,···,1.12,1.15,1.2,1.2,-0.4,-4.9
Consumer Services,1.15,···,1.14,1.15,1.14,1.13,-0.5,-1.7
Education,1.18,···,1.14,1.11,1.14,1.13,-1,-4.2
Entertainment Providers,0.96,···,0.88,0.87,0.88,0.85,-3.3,-11.5
"Farming, Ranching, Forestry",1.1,···,0.96,0.98,0.92,0.96,4.4,-12.8
Financial Services,0.98,···,0.98,0.95,1.02,1.01,-1,3.2
Government Administration,1.14,···,1.03,1.02,1.05,1.07,1.6,-6.3
Holding Companies,0.83,···,0.73,0.72,0.74,0.73,-0.8,-11.5
Hospitals and Health Care,1.15,···,1.07,1.07,1.09,1.09,0.3,-5
Manufacturing,0.92,···,0.83,0.83,0.86,0.84,-2.2,-9
"Oil, Gas, and Mining",0.91,···,0.85,0.81,0.85,0.8,-6.7,-12.7
Professional Services,0.92,···,0.86,0.86,0.89,0.87,-2.7,-5.2
Real Estate and Equipment Rental Services,0.94,···,0.89,0.95,0.98,0.86,-12.3,-8.7
Retail,0.82,···,0.79,0.82,0.83,0.82,-2.1,-0.5
"Technology, Information and Media",0.84,···,0.84,0.82,0.92,0.85,-7.4,1.5
"Transportation, Logistics, Supply Chain and Storage",1.04,···,0.97,0.99,1.03,0.98,-4.7,-5.5
Utilities,1.22,···,1.11,1.09,1.14,1.12,-1.6,-8.1
Wholesale,0.87,···,0.76,0.82,0.89,0.72,-19.1,-16.9
