Industry,21-Dec,···,22-Sep,22-Oct,22-Nov,22-Dec,MoM% Change,YoY% Change
Accommodation,1.14,···,1.02,1.03,1,1.04,4.1,-8.6
Administrative and Support Services,1.18,···,1.1,1.08,1.07,1.05,-1,-11
Construction,1.22,···,1.25,1.2,1.14,1.15,0.9,-5.6
Education,1.26,···,1.22,1.21,1.19,1.23,3.1,-2.5
Entertainment Providers,1.19,···,1.01,0.94,0.91,0.93,1.8,-21.9
"Farming, Ranching, Forestry",1.24,···,1.13,1.26,1.17,1.3,10.6,4.6
Financial Services,1.37,···,1.25,1.21,1.11,1.13,1.7,-17.2
Government Administration,1.08,···,1.05,1.08,1.09,1.12,3.1,3.4
Holding Companies,1.41,···,1.03,1.01,0.89,0.91,1.4,-35.6
Hospitals and Health Care,1.22,···,1.17,1.17,1.12,1.14,1.6,-6.4
Manufacturing,1.23,···,1.11,1.06,0.97,0.98,0.4,-20.5
"Oil, Gas, and Mining",1.15,···,1.07,1.03,0.97,0.96,-0.2,-16.4
Professional Services,1.33,···,1.1,1.03,0.97,0.96,-1.3,-28.1
Real Estate and Equipment Rental Services,1.28,···,1.07,1.04,1.06,1.09,3,-15
Retail,1.06,···,0.91,0.9,0.89,0.97,8.6,-8.4
"Technology, Information and Media",1.47,···,1.21,1.12,0.97,0.93,-4.9,-37.1
"Transportation, Logistics, Supply Chain and Storage",1.38,···,1.3,1.26,1.23,1.21,-1,-12
Utilities,1.04,···,1.34,1.32,1.31,1.33,1.6,28
Wholesale,1.14,···,1,1,0.99,0.96,-2.4,-15.3
