Industry,Dec-23,···,Sep-24,Oct-24,Nov-24,Dec-24,MoM% Change,YoY% Change
Accommodation and Food Services,1,···,0.92,0.87,0.91,0.96,5.3,-4
Administrative and Support Services,0.97,···,0.83,0.78,0.85,0.9,5.3,-7.7
Construction,1.3,···,1.15,1.12,1.15,1.2,4.3,-7.3
Consumer Services,1.2,···,1.17,1.14,1.15,1.14,-0.7,-5.3
Education,1.19,···,1.16,1.14,1.11,1.14,2.4,-4.1
Entertainment Providers,0.96,···,0.9,0.88,0.87,0.88,0.8,-8.3
"Farming, Ranching, Forestry",1.17,···,0.98,0.96,0.98,0.92,-6.1,-21.6
Financial Services,0.98,···,0.99,0.98,0.95,1.02,7,3.9
Government Administration,1.19,···,1.06,1.03,1.02,1.05,2.5,-11.6
Holding Companies,0.84,···,0.72,0.73,0.72,0.74,2.1,-12.4
Hospitals and Health Care,1.17,···,1.08,1.07,1.07,1.09,1.7,-7.2
Manufacturing,1.01,···,0.86,0.83,0.83,0.86,3.7,-15.2
"Oil, Gas, and Mining",0.95,···,0.87,0.85,0.81,0.85,5.8,-10.4
Professional Services,0.92,···,0.87,0.86,0.86,0.89,3.9,-3.1
Real Estate and Equipment Rental Services,1.07,···,0.94,0.89,0.95,0.98,3.6,-8.1
Retail,0.89,···,0.8,0.79,0.82,0.83,1.7,-5.9
"Technology, Information and Media",0.88,···,0.85,0.84,0.82,0.92,11.7,4.9
"Transportation, Logistics, Supply Chain and Storage",1.1,···,1.02,0.97,0.99,1.03,4.5,-6.3
Utilities,1.28,···,1.14,1.11,1.09,1.14,4.3,-10.8
Wholesale,0.98,···,0.82,0.76,0.82,0.89,8.5,-8.7
