Industry,23-Jun,···,24-Mar,24-Apr,24-May,24-Jun,MoM% Change,YoY% Change
Accommodation and Food Services,0.97,···,0.95,0.94,0.97,0.89,-8.3,-9.1
Administrative and Support Services,0.9,···,0.9,0.87,0.84,0.78,-6.4,-12.5
Construction,1.27,···,1.18,1.17,1.22,1.22,-0.4,-4
Consumer Services,1.13,···,1.15,1.19,1.14,1.09,-5,-4.3
Education,1.19,···,1.12,1.16,1.22,1.17,-4.7,-2.1
Entertainment Providers,0.96,···,0.92,0.91,0.93,0.9,-2.9,-6.7
"Farming, Ranching, Forestry",1.23,···,1.09,1.1,1.11,1.04,-6,-15.4
Financial Services,1.07,···,0.97,0.97,1.01,0.96,-4.4,-10.4
Government Administration,1.18,···,1.1,1.08,1.14,1.09,-4.4,-7.7
Holding Companies,0.86,···,0.67,0.87,0.75,0.75,0.6,-12.8
Hospitals and Health Care,1.21,···,1.11,1.1,1.14,1.1,-3.7,-8.8
Manufacturing,1.02,···,0.89,0.91,0.9,0.88,-1.7,-13.1
"Oil, Gas, and Mining",1.02,···,0.87,0.87,0.91,0.89,-2.8,-13
Professional Services,0.96,···,0.89,0.87,0.92,0.9,-2.3,-6.4
Real Estate and Equipment Rental Services,1.06,···,0.97,0.96,0.86,0.9,4.1,-15.7
Retail,0.83,···,0.84,0.82,0.81,0.77,-4.9,-7.1
"Technology, Information and Media",0.84,···,0.86,0.86,0.87,0.84,-4.2,0.1
"Transportation, Logistics, Supply Chain and Storage",1.16,···,1.01,1.01,1.02,1.03,0.9,-11
Utilities,1.39,···,1.22,1.16,1.16,1.16,-0.2,-16.4
Wholesale,0.91,···,0.85,0.84,0.77,0.75,-3,-17.1
