Industry,Jun-24,···,Mar-25,Apr-25,May-25,Jun-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.87,···,0.87,0.87,0.92,0.84,-9.2,-3.4
Administrative and Support Services,0.79,···,0.81,0.79,0.8,0.76,-4.7,-3.1
Construction,1.24,···,1.13,1.11,1.22,1.13,-7,-8.7
Consumer Services,1.13,···,1.12,1.1,1.09,1.05,-4.2,-7.2
Education,1.14,···,1.07,1.12,1.14,1.04,-8.9,-9.3
Entertainment Providers,0.92,···,0.87,0.87,0.9,0.85,-5.3,-7
"Farming, Ranching, Forestry",1.08,···,0.9,0.97,1.07,1,-6.4,-6.8
Financial Services,0.99,···,1,0.97,1.04,0.86,-17.8,-13.2
Government Administration,1.1,···,0.93,0.93,0.98,0.91,-7.5,-17.8
Holding Companies,0.81,···,0.69,0.72,0.77,0.72,-5.7,-10.5
Hospitals and Health Care,1.11,···,1.05,1.05,1.09,1.05,-4.2,-5.8
Manufacturing,0.92,···,0.81,0.8,0.84,0.77,-8.5,-17
"Oil, Gas, and Mining",0.9,···,0.84,0.78,0.81,0.75,-7,-16.1
Professional Services,0.91,···,0.83,0.83,0.87,0.77,-11.7,-15.6
Real Estate and Equipment Rental Services,0.93,···,0.87,0.86,0.89,0.85,-4.8,-9.1
Retail,0.78,···,0.77,0.77,0.75,0.7,-7.6,-11.3
"Technology, Information and Media",0.85,···,0.84,0.85,0.88,0.77,-12.4,-9.3
"Transportation, Logistics, Supply Chain and Storage",0.98,···,0.97,0.99,0.96,0.87,-9.4,-11.5
Utilities,1.24,···,1.09,1.05,1.17,1.09,-6.8,-12.3
Wholesale,0.81,···,0.77,0.73,0.68,0.64,-5.9,-20.7
