Industry,22-May,···,23-Feb,23-Mar,23-Apr,23-May,MoM% Change,YoY% Change
Accommodation and Food Services,1.23,···,0.98,0.94,0.96,0.99,3.6,-19.5
Administrative and Support Services,1.26,···,0.98,0.97,0.92,0.93,1.5,-26.1
Construction,1.41,···,1.09,1.07,1.08,1.18,9.2,-16.3
Consumer Services,1.2,···,1.1,1.08,1.11,1.08,-2.6,-10.1
Education,1.28,···,1.18,1.21,1.18,1.21,2.1,-5.3
Entertainment Providers,1.07,···,0.88,0.85,0.88,0.91,2.9,-15.5
"Farming, Ranching, Forestry",1.39,···,1.09,1.22,1.15,1.1,-3.8,-20.8
Financial Services,1.33,···,1.05,1.04,0.99,1.03,3.9,-22.7
Government Administration,1.21,···,1.08,1.08,1.11,1.14,3.4,-5.6
Holding Companies,1.19,···,0.84,0.87,0.83,0.9,7.6,-24.5
Hospitals and Health Care,1.33,···,1.1,1.14,1.1,1.21,10.2,-9.1
Manufacturing,1.21,···,0.91,0.93,0.89,0.98,9.3,-19.6
"Oil, Gas, and Mining",1.14,···,0.92,0.96,0.94,1,5.7,-12.5
Professional Services,1.28,···,0.92,0.92,0.92,0.97,5.2,-24.8
Real Estate and Equipment Rental Services,1.35,···,1,0.99,1,1.03,3.1,-23.5
Retail,1.12,···,0.85,0.84,0.79,0.85,7,-23.9
"Technology, Information and Media",1.5,···,0.81,0.8,0.78,0.84,8,-44
"Transportation, Logistics, Supply Chain and Storage",1.44,···,1.12,1.11,1.11,1.1,-0.7,-23.6
Utilities,1.37,···,1.24,1.31,1.19,1.26,5.6,-8.5
Wholesale,1.2,···,0.86,0.86,0.84,0.8,-5.9,-33.5
