Industry,May-24,···,Feb-25,Mar-25,Apr-25,May-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.95,···,0.97,0.87,0.87,0.92,6.2,-2.7
Administrative and Support Services,0.83,···,0.85,0.81,0.79,0.8,1.1,-3.9
Construction,1.27,···,1.19,1.13,1.11,1.22,9.8,-4.3
Consumer Services,1.16,···,1.15,1.12,1.1,1.09,-0.3,-5.4
Education,1.2,···,1.16,1.07,1.12,1.14,1.4,-4.9
Entertainment Providers,0.93,···,0.88,0.87,0.87,0.9,3.4,-3.4
"Farming, Ranching, Forestry",1.18,···,1.02,0.9,0.97,1.07,10.8,-9.3
Financial Services,1.01,···,1.02,1,0.97,1.04,7.1,2.9
Government Administration,1.16,···,1,0.93,0.93,0.98,5.8,-15.5
Holding Companies,0.85,···,0.66,0.69,0.72,0.77,6.2,-10
Hospitals and Health Care,1.15,···,1.09,1.05,1.05,1.09,3.9,-5
Manufacturing,0.94,···,0.84,0.81,0.8,0.84,5,-10.8
"Oil, Gas, and Mining",0.95,···,0.85,0.84,0.78,0.81,3.1,-15.4
Professional Services,0.92,···,0.88,0.83,0.83,0.87,4.5,-5.7
Real Estate and Equipment Rental Services,0.89,···,0.9,0.87,0.86,0.89,2.9,-0.2
Retail,0.82,···,0.84,0.77,0.77,0.75,-2.5,-8.3
"Technology, Information and Media",0.87,···,0.88,0.84,0.85,0.88,4,1
"Transportation, Logistics, Supply Chain and Storage",0.99,···,1.03,0.97,0.99,0.96,-2.9,-2.4
Utilities,1.24,···,1.09,1.09,1.05,1.17,11.5,-5.8
Wholesale,0.83,···,0.84,0.77,0.73,0.68,-7,-17.6
