Industry,23-Feb,···,23-Nov,23-Dec,24-Jan,24-Feb,MoM% Change,YoY% Change
Accommodation and Food Services,1.06,···,0.99,1.01,0.93,0.96,3.9,-9.2
Administrative and Support Services,1.04,···,0.94,0.98,0.81,0.91,11.8,-13.1
Construction,1.22,···,1.21,1.24,1.18,1.18,0.7,-3
Consumer Services,1.2,···,1.19,1.2,1.11,1.17,5,-2.3
Education,1.23,···,1.15,1.16,1.14,1.15,1.2,-6.6
Entertainment Providers,1,···,0.92,0.93,0.94,0.94,0.4,-5.5
"Farming, Ranching, Forestry",1.18,···,1.07,1.11,1.06,1.08,1.6,-8.9
Financial Services,1.16,···,0.97,0.98,0.96,0.99,3,-14.8
Government Administration,1.21,···,1.16,1.15,1.09,1.13,3,-7.2
Holding Companies,0.9,···,0.76,0.78,0.8,0.81,1.3,-10.5
Hospitals and Health Care,1.24,···,1.14,1.13,1.1,1.12,1.9,-9.7
Manufacturing,1.03,···,0.92,1,0.87,0.89,2.4,-13.4
"Oil, Gas, and Mining",1.04,···,0.91,0.93,0.88,0.89,0.8,-14.8
Professional Services,1.02,···,0.9,0.91,0.89,0.91,1.9,-10.9
Real Estate and Equipment Rental Services,1.1,···,1.03,1.01,0.94,0.94,0.4,-14.7
Retail,0.91,···,0.86,0.87,0.83,0.83,-0.2,-9.8
"Technology, Information and Media",0.92,···,0.84,0.86,0.82,0.87,6,-5.4
"Transportation, Logistics, Supply Chain and Storage",1.22,···,1.06,1.04,1.03,1.03,-0.4,-15.9
Utilities,1.4,···,1.23,1.2,1.13,1.11,-1.7,-20.6
Wholesale,0.98,···,0.89,0.95,0.82,0.83,1.2,-15.9
