Industry,Feb-24,···,Nov-24,Dec-24,Jan-25,Feb-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.95,···,0.91,0.96,0.94,0.97,3.2,2.4
Administrative and Support Services,0.88,···,0.85,0.9,0.8,0.85,6.5,-3.2
Construction,1.25,···,1.15,1.2,1.2,1.19,-0.7,-5.3
Consumer Services,1.17,···,1.15,1.14,1.13,1.15,1.6,-1.7
Education,1.17,···,1.11,1.14,1.13,1.16,3.2,-0.1
Entertainment Providers,0.94,···,0.87,0.88,0.85,0.88,3.6,-6.7
"Farming, Ranching, Forestry",1.11,···,0.98,0.92,0.96,1.02,6.1,-7.9
Financial Services,0.98,···,0.95,1.02,1.01,1.02,0.9,3.5
Government Administration,1.16,···,1.02,1.05,1.07,1,-6.4,-13.6
Holding Companies,0.79,···,0.72,0.74,0.73,0.66,-10.3,-17.1
Hospitals and Health Care,1.15,···,1.07,1.09,1.09,1.09,-0.4,-5.8
Manufacturing,0.94,···,0.83,0.86,0.84,0.84,0,-10.4
"Oil, Gas, and Mining",0.92,···,0.81,0.85,0.8,0.85,6.8,-7.9
Professional Services,0.91,···,0.86,0.89,0.87,0.88,1.9,-2.6
Real Estate and Equipment Rental Services,0.99,···,0.95,0.98,0.86,0.9,4.1,-9.7
Retail,0.85,···,0.82,0.83,0.82,0.84,3.1,-0.7
"Technology, Information and Media",0.87,···,0.82,0.92,0.85,0.88,4,1.5
"Transportation, Logistics, Supply Chain and Storage",1.04,···,0.99,1.03,0.98,1.03,4.4,-1.4
Utilities,1.19,···,1.09,1.14,1.12,1.09,-3.1,-8.4
Wholesale,0.86,···,0.82,0.89,0.72,0.84,16.5,-1.7
