Industry,21-Apr,···,22-Jan,22-Feb,22-Mar,22-Apr,MoM% Change,YoY% Change
Accommodation,1.07,···,1.21,1.16,1.17,1.11,-5.1,3.9
Administrative and Support Services,1.08,···,1.29,1.25,1.28,1.23,-3.4,14.6
Construction,1.17,···,1.35,1.25,1.32,1.27,-4,8.8
Consumer Services,1.21,···,1.16,1.13,1.15,1.16,0.9,-4.1
Education,1.11,···,1.26,1.28,1.29,1.3,0.4,16.7
Entertainment Providers,1.06,···,1.24,1.23,1.21,1.21,0,15
"Farming, Ranching, Forestry",1.35,···,1.3,1.28,1.39,1.27,-8.4,-5.7
Financial Services,1.33,···,1.36,1.32,1.38,1.39,0.7,4.5
Government Administration,1.13,···,1.11,1.07,1.14,1.15,0.8,2.2
Hospitals and Health Care,1.25,···,1.35,1.2,1.28,1.27,-0.3,1.3
Manufacturing,1.24,···,1.21,1.17,1.22,1.26,2.5,1.7
"Oil, Gas, and Mining",0.97,···,1.11,1.06,1.18,1.15,-2.7,18.1
Professional Services,1.24,···,1.31,1.29,1.38,1.29,-6.2,4.4
Real Estate and Equipment Rental Services,1.36,···,1.3,1.25,1.35,1.32,-2.1,-2.8
Retail,1.07,···,1.09,1.05,1.12,1.1,-1.3,3.3
"Technology, Information and Media",1.36,···,1.52,1.46,1.51,1.47,-2.6,8.4
"Transportation, Logistics and Storage",1.23,···,1.51,1.43,1.51,1.41,-6.7,15
Utilities,1.13,···,1.11,1.21,1.16,1.14,-1.1,1
Wholesale,1.13,···,1.13,1.09,1.19,1.12,-5.5,-0.4
