Industry,Apr-24,···,Jan-25,Feb-25,Mar-25,Apr-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.92,···,0.94,0.97,0.87,0.87,-0.2,-5.1
Administrative and Support Services,0.86,···,0.8,0.85,0.81,0.79,-2.5,-8
Construction,1.23,···,1.2,1.19,1.13,1.11,-2.2,-9.7
Consumer Services,1.17,···,1.13,1.15,1.12,1.1,-1.6,-5.9
Education,1.15,···,1.13,1.16,1.07,1.12,5.5,-2
Entertainment Providers,0.92,···,0.85,0.88,0.87,0.87,0.6,-5.7
"Farming, Ranching, Forestry",1.16,···,0.96,1.02,0.9,0.97,8.1,-16.7
Financial Services,0.96,···,1.01,1.02,1,0.97,-2.3,1.4
Government Administration,1.09,···,1.07,1,0.93,0.93,-0.6,-15.4
Holding Companies,0.84,···,0.73,0.66,0.69,0.72,4,-13.7
Hospitals and Health Care,1.11,···,1.09,1.09,1.05,1.05,0.6,-5.3
Manufacturing,0.95,···,0.84,0.84,0.81,0.8,-1.8,-15.8
"Oil, Gas, and Mining",0.89,···,0.8,0.85,0.84,0.78,-6.6,-12.2
Professional Services,0.88,···,0.87,0.88,0.83,0.83,0,-4.9
Real Estate and Equipment Rental Services,0.98,···,0.86,0.9,0.87,0.86,-1,-11.5
Retail,0.81,···,0.82,0.84,0.77,0.77,0,-4.2
"Technology, Information and Media",0.85,···,0.85,0.88,0.84,0.85,1.6,-0.5
"Transportation, Logistics, Supply Chain and Storage",1.01,···,0.98,1.03,0.97,0.99,2.6,-2
Utilities,1.23,···,1.12,1.09,1.09,1.05,-4,-15
Wholesale,0.86,···,0.72,0.84,0.77,0.73,-5.1,-14.5
