Industry,Oct-23,···,Jul-24,Aug-24,Sep-24,Oct-24,MoM% Change,YoY% Change
Accommodation and Food Services,0.99,···,0.9,0.86,0.93,0.86,-7.4,-12.8
Administrative and Support Services,0.96,···,0.82,0.79,0.83,0.76,-7.9,-21
Construction,1.24,···,1.15,1.12,1.13,1.08,-4.6,-12.7
Consumer Services,1.18,···,1.11,1.12,1.19,1.15,-3.8,-2.6
Education,1.17,···,1.09,1.1,1.15,1.13,-1.8,-3.6
Entertainment Providers,0.93,···,0.89,0.88,0.91,0.87,-5,-7.3
"Farming, Ranching, Forestry",1.13,···,0.99,0.94,0.97,0.93,-4.5,-17.6
Financial Services,0.99,···,0.92,0.93,0.99,0.96,-2.8,-2.9
Government Administration,1.15,···,1.04,1.02,1.05,1.02,-2.8,-11.3
Holding Companies,0.83,···,0.79,0.69,0.74,0.72,-3.5,-13.2
Hospitals and Health Care,1.16,···,1.06,1.06,1.07,1.05,-1.7,-9.3
Manufacturing,0.96,···,0.87,0.83,0.85,0.81,-5.2,-15.9
"Oil, Gas, and Mining",0.96,···,0.85,0.81,0.9,0.86,-4.2,-10.2
Professional Services,0.91,···,0.85,0.84,0.87,0.84,-3.2,-7.8
Real Estate and Equipment Rental Services,1.03,···,0.91,0.86,0.91,0.86,-6.2,-16.7
Retail,0.83,···,0.78,0.78,0.79,0.78,-1.7,-5.7
"Technology, Information and Media",0.84,···,0.86,0.83,0.86,0.83,-3.1,-1.2
"Transportation, Logistics, Supply Chain and Storage",1.1,···,1.01,0.96,1.02,0.97,-5.7,-12
Utilities,1.24,···,1.15,1.11,1.13,1.1,-2.5,-11.3
Wholesale,0.9,···,0.77,0.76,0.81,0.74,-8.6,-18
