Industry,21-Aug,···,22-May,22-Jun,22-Jul,22-Aug,MoM% Change,YoY% Change
Accommodation,1.17,···,1.17,1.09,1,1.02,1.2,-13.1
Administrative and Support Services,1.22,···,1.23,1.15,1.16,1.24,6.7,1
Construction,1.23,···,1.33,1.26,1.16,1.26,9.3,2.4
Consumer Services,1.1,···,1.18,1.11,1.12,1.14,1.2,3.5
Education,1.15,···,1.25,1.22,1.16,1.29,11.1,12.2
Entertainment Providers,1.16,···,1.15,1.02,0.95,0.94,-1.8,-19.2
"Farming, Ranching, Forestry",1.3,···,1.21,1.21,1.17,1.35,14.8,3.6
Financial Services,1.29,···,1.33,1.25,1.17,1.29,10.6,-0.4
Government Administration,1.05,···,1.16,1.09,1.02,1.07,4.8,2.5
Holding Companies,1.21,···,1.21,1.17,1.05,1.22,15.8,0.5
Hospitals and Health Care,1.26,···,1.29,1.21,1.16,1.31,13.1,4.4
Manufacturing,1.23,···,1.19,1.12,1.11,1.12,1.3,-8.6
"Oil, Gas, and Mining",1.07,···,1.13,1.08,1.02,1.07,5.7,0.3
Professional Services,1.3,···,1.26,1.16,1.08,1.15,6.7,-11.3
Real Estate and Equipment Rental Services,1.3,···,1.33,1.22,1.13,1.18,4.2,-9.5
Retail,1.08,···,1.08,0.93,0.92,0.93,0.9,-13.9
"Technology, Information and Media",1.41,···,1.47,1.32,1.29,1.31,2.1,-6.8
"Transportation, Logistics, Supply Chain and Storage",1.48,···,1.42,1.35,1.27,1.34,4.9,-9.7
Utilities,1.1,···,1.13,1.06,1.22,1.36,11.8,24.1
Wholesale,1.18,···,1.14,1.1,1.03,1.11,6.9,-6
