Industry,Aug-23,···,May-24,Jun-24,Jul-24,Aug-24,MoM% Change,YoY% Change
Accommodation and Food Services,0.97,···,0.97,0.87,0.9,0.86,-4.9,-11.9
Administrative and Support Services,0.91,···,0.84,0.78,0.82,0.79,-2.7,-13
Construction,1.23,···,1.22,1.19,1.15,1.12,-2.2,-8.7
Consumer Services,1.13,···,1.14,1.08,1.11,1.12,0.2,-1.1
Education,1.21,···,1.22,1.13,1.09,1.1,1.1,-8.9
Entertainment Providers,0.94,···,0.93,0.9,0.89,0.88,-1.9,-7.2
"Farming, Ranching, Forestry",1.15,···,1.11,1.03,0.99,0.94,-5.1,-18.8
Financial Services,1,···,1.01,0.95,0.92,0.93,1.7,-6.4
Government Administration,1.15,···,1.14,1.07,1.04,1.02,-1.3,-11
Holding Companies,0.73,···,0.75,0.77,0.79,0.69,-13,-6
Hospitals and Health Care,1.17,···,1.14,1.08,1.06,1.06,-0.7,-9.6
Manufacturing,0.97,···,0.9,0.89,0.87,0.83,-3.6,-13.8
"Oil, Gas, and Mining",0.96,···,0.91,0.87,0.85,0.81,-5.7,-16.3
Professional Services,0.92,···,0.92,0.88,0.85,0.84,-1.2,-8.7
Real Estate and Equipment Rental Services,1.04,···,0.86,0.9,0.91,0.86,-5.1,-17.1
Retail,0.83,···,0.81,0.76,0.78,0.78,-1.1,-6.2
"Technology, Information and Media",0.82,···,0.87,0.84,0.86,0.83,-3.1,1.8
"Transportation, Logistics, Supply Chain and Storage",1.16,···,1.02,1.02,1.01,0.96,-5.1,-17.3
Utilities,1.3,···,1.16,1.17,1.15,1.11,-4.2,-14.8
Wholesale,0.87,···,0.77,0.75,0.77,0.76,-0.5,-12.8
