Industry,Hiring_Rate_Mean,Hiring_Rate_StdDev,Total_Observations,MoM_Change_Percent_Mean,YoY_Change_Percent_Mean
Accommodation and Food Services,0.9125454545454545,0.04321428869569354,55,-0.7272727272727273,-2.9454545454545453
Administrative and Support Services,0.8256363636363637,0.047366327951077446,55,-1.3727272727272728,-6.872727272727273
Construction,1.1754545454545453,0.049171588522693856,55,-0.46363636363636357,-6.418181818181818
Consumer Services,1.1256363636363635,0.03578555659209534,55,-1.0,-4.445454545454545
Education,1.1238181818181818,0.043948240140508535,55,-0.6,-4.963636363636364
Entertainment Providers,0.8889090909090909,0.027800394832842815,55,-0.32727272727272727,-6.045454545454546
"Farming, Ranching, Forestry",0.9992727272727273,0.07866606745192091,55,-1.009090909090909,-13.4
Financial Services,0.9787272727272727,0.04316439485461347,55,0.10909090909090909,-0.6454545454545455
Government Administration,1.0223636363636364,0.07726730026496129,55,-1.4727272727272727,-13.39090909090909
Holding Companies,0.7376363636363636,0.04630669243543276,55,-1.2545454545454546,-10.036363636363637
Hospitals and Health Care,1.0838181818181818,0.03434524653567008,55,-0.3090909090909091,-6.036363636363636
Manufacturing,0.8509090909090908,0.051971243019674845,55,-0.8727272727272729,-12.072727272727272
"Oil, Gas, and Mining",0.8400000000000001,0.05235208439728776,55,-1.3363636363636364,-10.8
Professional Services,0.8621818181818182,0.03603963400001752,55,-0.6181818181818182,-6.1454545454545455
Real Estate and Equipment Rental Services,0.9081818181818182,0.053023087532204395,55,-1.5545454545454545,-8.436363636363636
Retail,0.7949090909090909,0.03804834776539931,55,-0.3363636363636365,-4.490909090909091
"Technology, Information and Media",0.8525454545454546,0.03169403389459576,55,0.15454545454545435,0.13636363636363633
"Transportation, Logistics, Supply Chain and Storage",0.9936363636363637,0.04964181467583318,55,-0.9545454545454546,-6.418181818181818
Utilities,1.1380000000000001,0.06053465490481002,55,-0.4818181818181818,-9.854545454545455
Wholesale,0.7819999999999999,0.07494195284549433,55,-1.6,-12.672727272727272
